content,sentiment
mau lapor spt kok susah bukan main apa sengaja ulur2 denda ya astaga rakyat udah ngikutin selalu sulit,0
hambur hamburakan uang negara aplikasi payah ini bintang 1 bayar pajak lapor sulit,0
login gagal padahal data benar hmm baik masa iya aplikasi begini error,0
aplikasi sama web sama sama ga jelas,0
banyak bug jadi lot eror,0
rubah password ajha susah banget gara bug,0
makin kesini makin ribet login coretax gagal terus padahal smua udah bener ngisinya kata mudah,0
mau login susah swafoto error jadi ga login,0
jelek bgt apk nya banyak korup,0
gajelas mau login aja bikin ribet,0
bagus,1
aplikasi sampah bayar pajak taat guna aplikasi jelek,0
padahal aplikasi sangat perlu dunia kerja eh malah buat aplikasi kek lontong,0
benerin website lu mao bikin npwp aja susah tengah mati,0
bantu layan terimakasih,1
take down aja aplikasi ga guna,0
app ini prose lapor jadi lebih mudah sangat sayang operasi bagaimana mesti mohon baik,1
aplikasi kentang mau masuk akun gabisa siaa siaa uang pajak gw,0
aplikasi sering errror guna,0
apk ajg bikin ribet 10 orang doang masuk link dah error,0
bikin habis pulsa kirim otp akhir gagal terus aktivasi masuk email no hp benar selalu jawab no hp valid,0
apk sampah ga guna,1
aplikasi bodoh ribet amaaaat mo login aja susa baget isi form nya apalagi weh weh konsep jadul yg tinggal jaman,0
ga jelas memang aplikasi buat perintah ni aplikasi kek zaman bahela gada maju2nya banyak bugnya gilir pajak ajak comot sana-sini buat aplikasi bagus aja pelit bnget,0
gimana aplikasi perintah ini niat bikin aplikasi mudab apa nggk sih susah bngt kalau mau lapor pajak,0
apk djp layan publik bawah kemkeu harus mudah akses yakin dana buat apk cukup besar guna seluruh rakyat indonesia dgn mudah,0
gaji udah potong pajak aja repot buat lapor,0
aplikasi apa benar dikit lah kalau buat nya kelas perintah buat gin aja pernah benar,0
loginnya susah padahal verifikasi,0
good,1
kecewa banget,0
potong lapor telat denda memang konoha kalau rumit mudah cokkkkk,0
oke jos,1
bagus,1
aplikasi guna ribet sangat jauh harap kalau buat simple bagus buat lapor sedang lihat pindah aplikasi balik djp jadi sangat sulit buka data simpan panggil gagal terus buat baru konsep bukan cepat lapor jadi malah bikin lambat ditest launching hadehhhh,0
validasi kontak muncul 2 pop up satu sukses satu gagal wkwkwk aplikasi perintah rata2 selalu masalah birokrasi ruwet makan pulsa gk heran si,0
gk pernah masuk log in layar blank putih saran informasi pengikinian data dukcapil buat automatis koneksi dukcapil alternatf online karna tdk semua org utk kantor pajak langsung,1
aplikasi sampah web jga sampah mau daftar aja susah kode otp ga kirim foto eror mulu ga ni aplikasi,0
buruk inti,0
effort udah jam 1 malem buat aktivasi eh nyata salah melulu udah bener tahun kemarin pake e-filling lebih gampang nggak kaya gin susah minta ampun,0
suruh lapor pajak bikin pusing cara lapor pantesan male bikin spt,0
dah bayar pajak masih suruh lapor masih sulit aplikasi susah buka menu g suport,0
aplikasi nyusahin buka mudah malah sulit kacau birokrasi sistem,0
bikin aplikasi ngga sih kerja cuma main aja,0
jadi salah terus,0
ruwet login nya,0
baik,1
sampah login susah,0
bolak balik login terus malah nyusahin warga sihhhh,0
gimana sih login aja ga bisa suruh aktivasi akun selalu eror webnya sama aja eror mulu suruh pajak malah eror terus gimana sih,0
punya instansi negara heran apk nya kok kayak sampah,0
kelas ditjen pajak ngeluarin aplikasi kek begini bott banget kaga digunain sama sekali makan pulsa boro masuk baik aplikasi orang yg cipatin nih aplikasi,0
aplikasi nyusahin org mau aktivasi akun dikit2 error udh error lempar website pulak tambah error,0
barang kalo dbuat perintah buka jadi solusi malah bikin tambah masalah,0
aplikasi kalo buat perintah selalu main padah rakyat mau taat kdp negara aja susah bgt akses,0
fungsi aplikasi buat apa,0
aplikasi guna,0
susah masuk aplikasi,0
naajissss apk kelas perintah aja ngisi otp errorrr jelas jelass tuhhh otp udh bnerrr,0
halah tatai,0
apk usaha kecil lebih baik apk,0
email aktivasi sama nomer telfon mudah jangan sulit,0
bguss,1
sampah ganggu mulu,0
apa ubah djp cortec susah anjay,0
mohon maaf yh gw udh usaha buat sepele macam pindah wilayah npwp udh otw kantor arahin apk udh login apk malah eror ganti hp ma tetap eror singaja buat nambah anggur indo gimanah gw cuman orang kecil liat fitur apk nya nggk masuk akal bolak balik nyari jaring ambil foto masuk lagi buat orang kecil kek gw aja kerja ribet kan gin mohon baik suara rakyat mohon baca chat ku tidk penting moga manfaat,0
aplikasi sampah,0
aplikasi kok emang perintah gabecus bikin aplikasi layan online anggar doang gede bikin aplikasi online kaya gin aja susah akses login lah aktivasi lah buat aktivasi aja gabisa nge bug terossss,0
ngebang gak pencet,0
sangat sulit,0
aplikasi apa klo daftar ujung arahin browser mana udah ikut semua langkah nya malah jadi salah paling engga kayak super app polri daftar nya gampang ga diarahin browser ga perlu kirim kode lewat otp pulsa,0
aplikasi perintah banyak bug error bayar pajak nomor satu baik aplikasi perlu,0
ah syudahlah,1
aplikasi sakit kepala,0
buat daftar foto lot minta ampun eror pa hasil foto buang anggar ciptain apk busuk,0
bagus,0
pajak rakyat besar aplikasi nya busuk kaya gin gila,0
aplikasi sulit pakai lupa passphares passphares baru padahal sangat butuh lapor paja,0
plis lah kalau misal data tentu pakai input field capslock kasih warning usernya jangan cuman kasih alert operasi gagal we can not verify your identity ga mention salah mana ulang kali ga login nyata email harus ketik font kapital,0
apa guna apk ganti kata sandi selalu eror padahal isi data benar apk jelas,0
aplikasi apa si di ikutin langkah 2nya malah jadi salah terus kacau,0
bagus,1
mantap,1
baik,1
bukan nya mudah masyarakat malah nyusahin aja apk sama org perintah nya sama aja sama sama cacat akal data udh lengkap mau validasi malah error sendiri apk cacat,0
,1
gak guna,0
ngisi semua benar verification trs kolom 3 isi gimana to long baik apk nya,0
mau login eror terus verifikasi kontak ga bisa pulsa pdhl,0
baik,1
bagaimana cara meleporkan pajak asn,1
passpharse salah input mulu padahal dah ngikutin sesuai prosedur servernya busuk sering eror,0
mau daftar aja susah bener et dah verifikasi no hp kode kgk dikirim2,0
tolol tolol,0
ntah apa apa login aja susah minta ampun pasword salah lah id salah lah ntah apa apa,0
g update info,0
mua aktivasi akun aja susah minta ampun padahal email sama nomor telepon benar tetap aja nomot cocok pa login hadehh hapus aja aplikasi,0
thn sllu aktik bayar pajak,1
aplikasi gak guna gak jelas error muluu payah,0
biasa aplikasi lokal kadang yg gk bagus,0
bagaimana mau bayar pajak ini semua serba sulit link onlinenya eror serasa mampu th 2010 perlu it mampu standar biar enggak tinggal amat kayak orang enggak paham suruh urus begini jelas semua enggak,0
aplikasi paling ribet baru terus login makin susah id pasword sdh benar tpi salah login terus tim it nya payah aplikasi,0
ngak fungsi baik,0
daftar by online,0
jelek bgt sistem nya,0
nyusahin mau daftar aja sulit sinyal stabil verifikasi lama,0
aplikasi gajelas udah masukin nik tulis jadi salah mulu,0
maaf busuk banget pak aplikasi baik tks,0
aplikasi kontil,0
lot susah login susah masuk mau situs atau aplikasi,0
aplikasi gajelas mau login malah gabisa mulu gimana sih,0
kadang msh susah utk buka aplikasi tp cukup bantu buat lapor pajak tahun,1
aplikasi sangat guna,0
dulu djp sulit ruwet susah dong buat aplikasi yg mudah suruh lapor aplikasi jelas gin terimakasih sl,0
mau swabfoto gagal terus 3 hari gak baik baik,0
apk perintah the best bintang satu,0
gak ribet udah berapa kali coba tetep aja gak address detail padahal udah sesuai sama alamat rumah bikin emosi aja perbaikin ni,0
apk eror terus login susah nya tengah mati,0
masuk anggar 1 3t itu,0
lapor spt coretax susahh pisann lahh,0
mending pake aplikasi djp yg dulu mau login error aplikasi sampah,0
aplikasi ampas,0
perlu benah,0
aplikasi tolol ribet gedeg bet dah kaga jelas,0
susah login padahal sepet daftar npwp cuma lupa sandi tetap aja gak bantu lupa sandi mohon tuk baik apknya min,0
buruk lot bgus app yg dlu,0
verifikasi kode nomer susah banget gak masuk masuk dong baik biar gak nyusahin hadeh,0
niat ngurus pajak sulit,0
isi daftar sulit susah padahal sudh benar data masuk malah ga valid katanyaa bikin pusing,0
buat kali kali gagal bayang tadi kantor pajak nya aja ga tau lah kasih paham masyarakat padahal td serah kantor pajak tetap buat npwp,0
aplikasi banyak bug utama otp no telpon muncul muncul,0
verif lgsg force close,0
masuk aplikasi padahal verifikasi wajah data email telepon konfirmasi benar aplikasi jadi kuatir jangan aplikasi spam ambil data wajib pajak,0
mau masuk error trooosss,0
aplikasi sampah verifikasi image ulang gagal terus buang2 anggar aja,0
sangat batu karyawan simpan masa pra kerja,1
aplikasi aneh sering eror,0
banyak tilep biaya r d nya aplikasi gak usah jelasin dah tulis begini udah banyak jelasin bawah,0
aplikasi perintah ngga beres,0
fitur-fitur ga guna nyusahin aja,0
mau lapor pajak aja susah bener jelek layan nya,0
apk gk jelas bikin ribet,0
banyak bug nya,0
aplikasi sampah gak buat login padahal sudh verifikasi sering ulang kata sandi via email yg daftar malah terang email valid ubah nomer malah gak dpt notifikasi nya,0
nyieun npwp ge rudet anyingg,0
susah banget masuk masuk isi bingung mau klik selesai malah muter2 gampang pakai e-filling coretak,0
kembang terus sistem lebih lancar baik terima kasih atas mudah,1
udah pandu terimakasih,1
buruk sulit gak mudah banget,0
hadeuh aplikasi bikin bener lah biar guna,0
sampah,0
aplikasi sangat bingung,0
kelas aplikasi negara ini verifikasi email no hp kirim kata mudah kok sulit,0
mantap,1
apk tengah mateng,0
mantap,1
mau aktivasi akun suruh ambil foto udah beres kata foto sesuai data base padahal gak pernah oplas gak pake kacamata aksesoris apa juga gimana sih,0
rubah data no telpon aflikasi ini mau download kartu electronic jg tdk ada bagus aplikasi lama,0
login mau ganti kata sandi bisa makin parah aplikasi perintah,0
ken login susah banget gak terus web gak aplikasi gak apa tuju dong aplikasi buat,0
mantap,1
apk tai,0
lebih mudah,1
minta login selalu gagal tau masalah apa,0
lumayan bagus mudah,1
ribet bangetttt yg anak muda aja susah banget buat buka ken tahu nomer npwp nya aja udah bolak balik aktivasi susah login yg ga melek gadget ampun bikin emosi ajaaa,0
aplikasi bagussss bangeytt woooiiii bikin aplikasi benerrrrr pajak kan duitnye banyakkk apaansi ngirim kode otp aje ga kirim kirim kocakkkk malu kelas punya negara begini kerja lu ngapain sii,0
muter suweee jane iso po ra gae aplikasi,1
baik sekali terimakasih,1
jelek banget sampe gak lapor spt bomat deh login aja gak,0
aplikasi apa ini banyak bug bjir udah ngisi form kali kali gagal terus terus minta bantu telpon malah tutup,0
apk eror terus gk login,0
waw mantap,1
padahal benar detail alamat kok error terus baik biar registrasi,0
cepat lengkap,1
it s the best,1
parah eror terus mau log in aja susah niat gasih buat apk,0
aplikasi bingung bikin pusing orang berjam2 pakai padahal masukin data sandi benar selalu ulang2 terus udah verikasi swafoto trs suruh ganti sandi selalu stuck situ trs mah bukan mudah tp bikin mumet lapor pajak aja sampe repot begini,0
sangat dukung,1
nomor npwp gak masuk padahal baru kemarin kantor pajak reset password email udah bener eh malah daftar kata hahhh kok bisa sandi email udh bener foto malah,0
masuk aplikasi bolak balik verifikasi ga puas2 kalian gimna mau bayar pajak login apk ribet x,0
siipp lapor,1
apk nya terlalu rumit sih daptar nya susah apk nya terlalu nyedot pulsa emg bener2,0
,1
bagus,1
pulsa habis otp ga nyampe hadeuh,0
update mulu,0
susah masuk tinggal verifikasi jadi ribet pake koretak padahal email no hp sama gimanamau lapor,0
suuulit,1
pajak tinggi,0
ribet,0
habis baru kok sekarang sulit sekali login djp bad aplikasi,0
bagus,1
ga fungsi,0
aplikasi paling buruk,0
mantap,1
good,1
kasi tiga dulu blom tau aplikaainya mudah sulit,1
aktivis akun aja susah minta ampuuuuuuuunnnnnn,0
,1
aplikasi buruk banget gagal terus input data,0
sungguh sangat buruk aplikasi mau daftar susah banget padahal mau baik mau lapor dapat,0
mau daftar aja sulit banget dateng kantor pajak suruh pulang buat dulu online gilir buat online malah sulit padahal mau bayar negara susah dah aneh,0
aplikasi boomer sistem aneh mau verif akun aja lama upgrade noh apk lu kocak,0
mau lapor spt malah ribet ga,0
aplikasi web nya sama aja ga jelas mau ganti sandi ngga bisa ngasih link ga jelas link nya apa,0
sangat bantu aplikasi,1
sy usaha jadi wp baik namun aplikasi yg baru ribet sekali susah login tdk masuk bahkan website cortex pajak spt tahun pph tdk masuk laku ubah data kemarin malah april sama sekali susah sinkronisasi mana wp lapor padahal bayar potong kita rakyat sulit para pegawai santai terima tunjang gaji waktu pakai terus urus ini data internet wifi tdk gratis,1
aplikasi bikin pusing data masuk benar verifikasi muka email salah bagong,0
aplikasi macam apa cooegg gajelas banget mau login aja susah mana makan pulsa nyesel jadi wni,0
ga paham,0
aplikasi jelek,0
aplikasi banyak bug ubah informasi akun nomor telepon hasil login sekali coretax logout coba login malah masuk mohon baik sangat ganggu itu notifikasi error jelas jadi guna bingung laku apa aplikasi kait pajak sistem lebih stabil andal,0
gak,0
ga modal apk pajak masak mau verif otp tlpn aja yg bayar pulsa nya apk tin loh mau bayar pajak aja kena palakin,0
duuh susah login udah bener semua error melulu udah fiturnya lengkap login oun susah faedah bantu sama sekali,0
buka,0
kacauuu kode verifikasi sm gak masuk masuk,0
aplikasi sampahhh,0
aplikasi gak jelas mau daftar akun gagal terus,0
wajib pajak bayar,1
downloadnya mentok 99 persen aja nih baru mau download aja udah masalah gimana dalam,0
aplikasi mutu,0
gagal terus mau login eror terus,0
aplikasi sampah mau daftar npwp aja sulit padahal data sesuai,0
gk jelas sdh isi semua data hasil akhir gagal terus auto uninstall,0
aplikasi payah,0
bagus,1
apk susah sekali ulang ulang verifikasi tetep ngga,0
buset dah guna teknik jadul verifikasi lewat sm beban terima padahal lewat wa gratis,0
kali laku coba aktivasi muncul notif we can not verify your identity genericerror,0
gak jelas mau daftar npwp online gabisa ribet bgt nii norak bgt ni djp gak jelas lu kerja,0
aplikasi bapuk narik duit pajak aja cepat aplikasi ga fungsi ga benerin blokkk,0
apk apa gk jelas betul iklan cuma 5 menti udah buat npwp pa mau daftar baru lembar dua udah sulit udah verify email no telpon udah masukin kode otp pa mau lanjut gk gitu kok kata mudah suruh wajib pajak buat npwp sulit pajak bayar korupsi gk bayar pajak salah anggap ilegal kocak memang atur negara,0
diperbaikin dong layan,0
ribet,0
parah sih apknya blunder bener suruh download perkara mau ganti sandi coretax kata nih tampil awal nya apk ga usah login ganti sandi nyata tampil awal ga dong buat ganti sandi ekwkw lawak anjr lah ribet banget apa sekarang pake npwn gilir mau urus ga susah eror terus dah gitu sih ganti sandi coretax lewat google tau yap link nya kirim sm linkya gak klik kek mana salin ga,0
udah temen jangan daftar online percuma habis2 in pulsa kalian doang udah muak banget pajak an,0
email bener pasword bener gagal melulu menu gak lengkap baik la kl niat mau buat apk bantu orang lain,0
niat bikin aplikasi ga si jink,0
kortek gak jelas,0
yg bayar pajak yg repotin terus kerja org pajak apa mending gampang bikin lapor,0
aplikasi bapuk login susah,0
kirain download aplikasi bakal lebih mudah verifikasi nya ga aplikasi ga websitenya sama sama payah,0
gajelas mau login bawa browser suda login browser malah error 400 minta orang pribadi lapor spt malah sulit t4ik pa udah login haduh gak isi yg diapain spt malah we ll back soon memang t4ik,0
nyusahi aje loe thong,0
ikutin semua arah tetep aja aktifasi aplikasi bagaimana sih ini tolongggggg,0
kode verifikasi no hp lama gk ada,0
apk apa mau daftar aja susah minta ampun sampai gadang keponakan buat npwp tetep lapor c gak banyak nipurakyat nih layan jelek aja gak urus,0
gimana si validasi foto gagal mulu notifikasi nya sesuai dgn foto database foto kapan kalo dasar foto ktp foto udh 20tahun lebih mana cocok duit gw yg potong buat pajak buat aplikasi kaya gin,0
aplikasi busuk mau daftar pajak aja isi kontak wajib pajak padahal email no hp isi verifikasi benar tombol lanjut malah ga aktif muncul gabisa klik jadi stuck hidup negara korup gin,0
perintah kalo bikin aplikasi ga jelas semua suka sulit,0
aplikasi paling sulit dunia segala fitur selalu aja gendala padahal aplikasi wajib pajak indonesia lo ferivikasi wajah malam gagal terus,0
aplikasi sampah semua kelola perintah gak jelas,0
gajelas banget aplikasi masa mau buat lapor stp ga bisa stuck log in aja mana kalo telat kena denda gilir mau dikerjain aplikasi nya ngajak gelud hadehhh,0
aplikasi g g fungsi masak bayar lapor trus kalian ngapain ntr ujung2nya 100t korup,0
aplikasi bejatt,0
aplikasi ramah lot,0
sangat baik sih kasih bintang 1 aplikasi ga nyusahin kaya gin kelas perintah aplikasi kurang modal apa verifikasi susah bener dah serah ga usah lapor kalau bgini ngabisin waktu,0
buruk ngambil duit rakyat cepet aplikasi minus,0
monyet makin ribet aja mau lapor pajak aja udah tiap bulan potong kudu lapor lagi,0
aplikasi pusing udah mah wajib bayar pajak mau aktivasi ribet minta ampun aplikasi yg tadi buat mudah malah bikin pusing,0
coretax sangat sulit,0
aplikasi paling ribet yg pernah kenal paling bingung sangat perlu baik seperti lihat npwp daftar npwp sangat tidalk guna,0
okee,1
mau bayar pajak keluar uang repot ribet kalo aplikasi mudah lancar sih mending ya lah apa dah sampah banget,0
kocak daftar aja susah bat server butut,0
kata sandi sesuai pada udh input bener jir duit gue potong pake segala lapor pajak,0
tolongg dong benerin lagi apk nya banyak banget kendala,0
aplikasi sampah mau apa2 lemootttttt bgt banyak eror taik,0
oke,1
semua situs pemerinrah kayak gin wifi data buat buka video 4k life stream buat buka aplikasi website perintah eror terus bawa,0
apk apa lelet bgt,0
aplikasi web paling jelek gaa up to date banget loading lama ilang mulu gaa efektif efisien banget plisa dong apus ajaa web kaya gin niat kalo bikin web proper masa web kelas kemenkeu kaya gin,0
mau mudah masyarakat apa sulit sih kaya asal2 lan aja kerja,0
aplikasi nya kayak developer mula data benar gagal login bikin aplikasi niat buat mudah malah sulit,0
masuk lewat web alihin apk apk suruh masuk alih web gitu aja terus sampe ani gak pindah parpol,0
berapa kira2 dana yg habis buat maintenance apk ya apk nya kok kayak gak niat banget malu2in,0
kesel banget mw daftar aja kek apa sih mana makan pulsa lah kan baik kok tombol lanjut gak pencet padahal sinyal bagus aja apa guna ni apk kalo ujung2nya mw daftar mesti kantor pajak jga hadeh,0
verifikasi sulitt kalau edit,0
stuck halaman login doang itu blank page sangat sangat minus,0
aplikasi kentang gak dipakeee,0
aplikasi nya buruk mangkin update kok mangkin tolol aplikasi nya bukan mudah malah mempersilit,0
good,1
